,X,Y,Z,DOF 1 Displacement,DOF 2 Displacement,DOF 3 Displacement,DOF 4 Displacement,DOF 5 Displacement,DOF 6 Displacement,DOF 1 Force,DOF 2 Force,DOF 3 Force,DOF 4 Force,DOF 5 Force,DOF 6 Force
85,-0.18616,0.37894,0.015,2.788516496550469e-05,-5.505841534816367e-05,6.701060221036791e-07,1.3291256638365543e-05,2.040388925568054e-05,9.816352124837175e-05,9.094947017729282e-13,1.3642420526593924e-12,0.0,1.3877787807814457e-15,-3.247402347028583e-15,-6.661338147750939e-16
86,-0.20105,0.35955000000000004,0.01875,2.6649086893130646e-05,-5.204740067068452e-05,4.162475009590456e-07,1.8037930123215953e-05,2.0912296035967413e-05,0.00012339686507967097,-9.094947017729282e-13,4.547473508864641e-13,1.7053025658242404e-13,1.4988010832439613e-15,-1.2212453270876722e-15,-3.1086244689504383e-15
87,-0.21594,0.34016,0.0225,2.4962822767853342e-05,-4.8675394350019494e-05,2.4141768211967846e-07,2.2040953338098753e-05,2.1182882835082397e-05,0.00014444773372303827,0.0,2.0463630789890885e-12,1.1368683772161603e-13,2.220446049250313e-15,9.43689570931383e-16,4.440892098500626e-15
88,-0.23082999999999998,0.32077,0.02625,2.2908362608496104e-05,-4.500746213022922e-05,1.3473832637056174e-07,2.5300326283014562e-05,2.1215649653025527e-05,0.00016131612717848085,-2.2737367544323206e-12,-2.2737367544323206e-12,-1.1368683772161603e-13,-1.1102230246251565e-15,2.886579864025407e-15,2.220446049250313e-15
89,-0.24572,0.30138,0.03,2.0567696433882116e-05,-4.1108669755374194e-05,8.533119449668331e-08,2.7816048957964228e-05,2.101059648979819e-05,0.0001740020454460063,-1.3642420526593924e-12,4.547473508864641e-13,0.0,-1.6653345369377348e-15,2.4980018054066022e-15,-8.881784197001252e-16
90,-0.26061,0.28199,0.03375,1.8022814262834403e-05,-3.7044082969514844e-05,8.231804728301337e-08,2.9588121362947573e-05,2.0567723345402014e-05,0.00018250548852562175,0.0,2.0463630789890885e-12,0.0,2.6645352591003757e-15,1.2212453270876722e-15,-5.773159728050814e-15
91,-0.27549999999999997,0.2626,0.0375,1.5355706114175836e-05,-3.287876751671146e-05,1.1482064551450261e-07,3.061654349796461e-05,1.9887030219837816e-05,0.0001868264564173355,4.547473508864641e-13,4.547473508864641e-13,-1.4210854715202004e-13,2.220446049250313e-16,5.828670879282072e-16,-7.993605777301127e-15
92,-0.29039,0.24321,0.041249999999999995,1.2648362006729177e-05,-2.867778914102424e-05,1.7196074997609623e-07,3.090131536301547e-05,1.8968517113105752e-05,0.00018696494912114948,4.547473508864641e-13,1.3642420526593924e-12,-2.842170943040401e-14,4.440892098500626e-16,6.661338147750939e-16,-8.881784197001252e-15
93,-0.30528,0.22382000000000002,0.045,9.982771959317196e-06,-2.4506213586513397e-05,2.428601214527369e-07,3.0442436958099967e-05,1.7812184025205906e-05,0.00018292096663706303,-6.821210263296962e-13,1.1368683772161603e-13,8.526512829121202e-14,-7.771561172376096e-16,1.2212453270876722e-15,-2.6645352591003757e-15
94,-0.32017,0.20443,0.04875,7.440925990762667e-06,-2.042910659723914e-05,3.166405207293649e-07,2.9239908283218408e-05,1.6418030956138624e-05,0.0001746945089650761,0.0,-5.684341886080801e-13,2.842170943040401e-14,-8.881784197001252e-16,-5.551115123125783e-17,1.7763568394002505e-15
